====================
Fold 0
X_of_N_38 (X-of-N): 20.02810010949703
X_of_N_27 (X-of-N): 12.639967030644758
X_of_N_11 (X-of-N): 8.442727295906787
X_of_N_33 (X-of-N): 4.713580362881802
X_of_N_29 (X-of-N): 2.8132399943280735
X_of_N_16 (X-of-N): 2.75734910748087
X_of_N_1 (X-of-N): 2.5317783846342783
REACTOME....Metabolism (X-of-N): 2.2458427493381348
X_of_N_34 (X-of-N): 1.6589447520575287
X_of_N_3 (X-of-N): 1.6532267198326038
X_of_N_23 (X-of-N): 1.4800413453631442
WikiPathways.23....Ciliary.landscape (X-of-N): 1.3919743106807783
X_of_N_4 (X-of-N): 1.019238220602849
X_of_N_8 (X-of-N): 0.9750544650098929
X_of_N_12 (X-of-N): 0.9354131960889951
ACSN2.22....ER_STRESS (X-of-N): 0.9168691443876944
X_of_N_26 (X-of-N): 0.7553004848351876
X_of_N_14 (X-of-N): 0.7442539570110932
systems.biology.org.1....beta_cell_v2.3 (X-of-N): 0.7234201060741742
X_of_N_32 (X-of-N): 0.7024625324927012
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.6856671947554294
REACTOME.11....Infectious.disease (X-of-N): 0.6808779844380891
WikiPathways.3....MAPK.Signaling (X-of-N): 0.6759744705887699
X_of_N_19 (X-of-N): 0.6369855170627722
X_of_N_15 (X-of-N): 0.6339605133024869
X_of_N_10 (X-of-N): 0.5501427010138119
X_of_N_6 (X-of-N): 0.4914772067825988
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.47050387798629345
Panther_Pathway....CCKR_signaling_map (X-of-N): 0.41577200783438323
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.3911666361307322
REACTOME.235....Ion.homeostasis (X-of-N): 0.37773136890586795
X_of_N_24 (X-of-N): 0.33193160223656154
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.3103457203156173
ACSN2.31....DEPENDANCE_RECEPTORS (X-of-N): 0.3044500253423343
X_of_N_2 (X-of-N): 0.3040436550322155
X_of_N_13 (X-of-N): 0.2955446831598517
X_of_N_30 (X-of-N): 0.2909110618230336
REACTOME.7....Innate.Immune.System (X-of-N): 0.28697706777886006
WikiPathways.109....Oxidative.phosphorylation (X-of-N): 0.27095939279157594
X_of_N_20 (X-of-N): 0.2609268461731829
NetPath.2....TCR (X-of-N): 0.2586197064073092
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.24334150488409517
X_of_N_9 (X-of-N): 0.23328190114801692
X_of_N_28 (X-of-N): 0.22913232707369552
REACTOME.136....HIV.Life.Cycle (X-of-N): 0.22131123003669625
BioCarta.4....nfat.and.hypertrophy.of.the.heart (X-of-N): 0.22118118681357768
X_of_N_31 (X-of-N): 0.22053908807088962
WikiPathways.87....IL.5.Signaling (X-of-N): 0.21861704322732617
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.217766387403014
X_of_N_18 (X-of-N): 0.21364997576991862
====================
Fold 1
X_of_N_43 (X-of-N): 24.44212842045907
X_of_N_23 (X-of-N): 7.146040200110783
X_of_N_9 (X-of-N): 5.368295903942355
X_of_N_47 (X-of-N): 2.870683126130567
X_of_N_30 (X-of-N): 2.5633094292236827
X_of_N_33 (X-of-N): 2.304803078259292
X_of_N_42 (X-of-N): 2.148264565666297
X_of_N_29 (X-of-N): 1.6775761800993414
X_of_N_13 (X-of-N): 1.5509122023143418
REACTOME....Metabolism (X-of-N): 1.3567300361333117
X_of_N_27 (X-of-N): 1.1779072674229671
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 1.117672861250646
X_of_N_21 (X-of-N): 1.0944910699563488
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 1.0866062960507754
X_of_N_28 (X-of-N): 1.0315000823688019
WikiPathways.3....MAPK.Signaling (X-of-N): 0.9577243100547226
X_of_N_3 (X-of-N): 0.949366923689589
KEGG.1....Thermogenesis (X-of-N): 0.8394761159114653
X_of_N_6 (X-of-N): 0.8241172796340038
X_of_N_16 (X-of-N): 0.8129124550259805
X_of_N_2 (X-of-N): 0.8055562023604232
X_of_N_39 (X-of-N): 0.7541976437087008
X_of_N_15 (X-of-N): 0.7216326332571186
X_of_N_1 (X-of-N): 0.6273992657425468
X_of_N_10 (X-of-N): 0.6195383679950619
X_of_N_44 (X-of-N): 0.5952390245013461
Panther_Pathway.47....TCA_cycle (X-of-N): 0.5944840080459302
REACTOME.11....Infectious.disease (X-of-N): 0.5941763301098681
REACTOME.36....Influenza.Viral.RNA.Transcription.and.Replication (X-of-N): 0.5849789691479819
INOH.10....Tryptophan.degradation (X-of-N): 0.5847755450927565
X_of_N_12 (X-of-N): 0.5583695106057674
X_of_N_18 (X-of-N): 0.5559355786076183
X_of_N_48 (X-of-N): 0.5137544957726475
BioCarta.69....er.associated.degradation..erad. (X-of-N): 0.4531886542539884
REACTOME.32....Influenza.Life.Cycle (X-of-N): 0.44225753540178714
X_of_N_45 (X-of-N): 0.4325194033977434
X_of_N_35 (X-of-N): 0.419258953635175
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.40172386363487733
HumanCyc.2....TCA.cycle (X-of-N): 0.40032220208075403
X_of_N_5 (X-of-N): 0.396376862087696
REACTOME.49....Axon.guidance (X-of-N): 0.3752773837204564
X_of_N_40 (X-of-N): 0.36664588925468755
X_of_N_20 (X-of-N): 0.3609338090818367
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.3558610201521552
X_of_N_34 (X-of-N): 0.35542029304355166
UniProt_Pathways....Carbohydrate.metabolism...tricarboxylic.acid.cycle (X-of-N): 0.33989754289581287
OntoCancro....Expanded.Apoptosis (X-of-N): 0.3344120897662322
X_of_N_14 (X-of-N): 0.3338412316230005
REACTOME.29....GTP.hydrolysis.and.joining.of.the.60S.ribosomal.subunit (X-of-N): 0.32015503666714995
X_of_N_32 (X-of-N): 0.31602128588241435
====================
Fold 2
X_of_N_14 (X-of-N): 23.19006001907481
X_of_N_37 (X-of-N): 16.087231694632564
X_of_N_23 (X-of-N): 10.172127651405935
X_of_N_26 (X-of-N): 3.2083177479081715
X_of_N_18 (X-of-N): 2.238284446771479
X_of_N_1 (X-of-N): 1.833281570335634
X_of_N_30 (X-of-N): 1.4369739560635557
INOH.10....Tryptophan.degradation (X-of-N): 1.2686622189222951
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 1.0736476504175159
X_of_N_8 (X-of-N): 0.9485451512649683
WikiPathways.3....MAPK.Signaling (X-of-N): 0.8469378143224277
X_of_N_11 (X-of-N): 0.8166999532125132
X_of_N_19 (X-of-N): 0.7294261331868437
X_of_N_5 (X-of-N): 0.7287809596383062
X_of_N_29 (X-of-N): 0.6846388112502549
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.6508885637882266
WikiPathways.23....Ciliary.landscape (X-of-N): 0.6415245333389266
X_of_N_35 (X-of-N): 0.4702055267899204
X_of_N_10 (X-of-N): 0.458699159978892
REACTOME.65....Ub.specific.processing.proteases (X-of-N): 0.4372501972726849
X_of_N_6 (X-of-N): 0.43469815286683655
REACTOME....Metabolism (X-of-N): 0.42871245338513353
X_of_N_34 (X-of-N): 0.42523026012746673
X_of_N_32 (X-of-N): 0.4223924094410093
REACTOME.26....Influenza.Infection (X-of-N): 0.38260888815953986
Panther_Pathway.47....TCA_cycle (X-of-N): 0.37234642798504863
KEGG.162....Legionellosis (X-of-N): 0.36948679611578433
REACTOME.11....Infectious.disease (X-of-N): 0.36851348186235694
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.36458002452051597
KEGG.11....Cellular.senescence (X-of-N): 0.3617046336267264
REACTOME.52....Deubiquitination (X-of-N): 0.35060630357261785
WikiPathways.82....Tryptophan.metabolism (X-of-N): 0.33728398608182936
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.335248982979212
X_of_N_31 (X-of-N): 0.33248297894047857
X_of_N_16 (X-of-N): 0.32771752363082135
X_of_N_9 (X-of-N): 0.3274480427857182
WikiPathways.6....Cytoplasmic.Ribosomal.Proteins (X-of-N): 0.3265883162898684
X_of_N_22 (X-of-N): 0.2931564788028145
KEGG.15....Proteoglycans.in.cancer (X-of-N): 0.28211504267050236
X_of_N_36 (X-of-N): 0.275219682624086
OntoCancro....Expanded.Apoptosis (X-of-N): 0.27441843033125035
X_of_N_20 (X-of-N): 0.27302266664715524
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.2723211726122459
ACSN2.22....ER_STRESS (X-of-N): 0.2676705923721809
KEGG.97....Lysosome (X-of-N): 0.25774400725994046
WikiPathways.104....DNA.Damage.Response (X-of-N): 0.24378150385411212
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.24351558617887406
X_of_N_24 (X-of-N): 0.2262233753026026
HumanCyc.13....glutathione.redox.reactions.I (X-of-N): 0.22551542447986064
X_of_N_12 (X-of-N): 0.22534269583218883
====================
Fold 3
X_of_N_36 (X-of-N): 11.036315312282452
X_of_N_4 (X-of-N): 8.331103879715926
X_of_N_3 (X-of-N): 8.133184411967017
X_of_N_7 (X-of-N): 6.006415480345639
X_of_N_42 (X-of-N): 4.058661283600096
X_of_N_18 (X-of-N): 4.0351072480695365
X_of_N_31 (X-of-N): 3.7075868371068896
REACTOME....Metabolism (X-of-N): 2.7855470622026552
X_of_N_16 (X-of-N): 2.50745431373224
X_of_N_17 (X-of-N): 2.3449998935469596
X_of_N_41 (X-of-N): 2.193656982013505
X_of_N_12 (X-of-N): 1.8055009496289525
X_of_N_40 (X-of-N): 1.768364539619303
X_of_N_11 (X-of-N): 1.6132065727745455
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 1.3632633756316095
X_of_N_39 (X-of-N): 1.3344834630322522
X_of_N_26 (X-of-N): 1.2188953847127848
ACSN2.22....ER_STRESS (X-of-N): 1.0621991527683934
X_of_N_1 (X-of-N): 1.008750640618975
X_of_N_38 (X-of-N): 0.9231623285892746
X_of_N_2 (X-of-N): 0.8564024590212159
REACTOME.2....Immune.System (X-of-N): 0.8513333503803038
X_of_N_14 (X-of-N): 0.8465414581264703
X_of_N_21 (X-of-N): 0.8400851188517704
X_of_N_20 (X-of-N): 0.6525255664212328
X_of_N_8 (X-of-N): 0.6339902503976668
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.6130473394374082
X_of_N_32 (X-of-N): 0.5955180047985684
WikiPathways.23....Ciliary.landscape (X-of-N): 0.5732780150381142
X_of_N_5 (X-of-N): 0.5125651899215667
X_of_N_27 (X-of-N): 0.4588054664066555
X_of_N_37 (X-of-N): 0.4315220670655307
REACTOME.20....Cell.Cycle (X-of-N): 0.41147286418447315
X_of_N_29 (X-of-N): 0.39835607025448977
KEGG.15....Proteoglycans.in.cancer (X-of-N): 0.38295323534250864
REACTOME.1....Metabolism.of.proteins (X-of-N): 0.3787896081897589
X_of_N_15 (X-of-N): 0.3760564719018261
X_of_N_25 (X-of-N): 0.3617253719503785
X_of_N_19 (X-of-N): 0.33516327622204456
REACTOME.56....RAF.MAP.kinase.cascade (X-of-N): 0.33016927349012676
X_of_N_9 (X-of-N): 0.32720912364220434
X_of_N_23 (X-of-N): 0.3232105850234691
HumanCyc.6....superpathway.of.methionine.degradation (X-of-N): 0.3041729397088417
X_of_N_13 (X-of-N): 0.3015937100503691
INOH.38....Methionine.Cysteine.metabolism (X-of-N): 0.2624835468168623
systems.biology.org.6....EGFR_signaling_for_RTKC (X-of-N): 0.259251640009933
KEGG.100....Wnt.signaling (X-of-N): 0.25802783818193725
KEGG.162....Legionellosis (X-of-N): 0.2566336842707756
WikiPathways.69....Parkin.Ubiquitin.Proteasomal.System (X-of-N): 0.24345194665184333
EHMN.5....Arachidonic.acid.metabolism (X-of-N): 0.23868011831281122
====================
Fold 4
X_of_N_27 (X-of-N): 20.465237259973925
X_of_N_4 (X-of-N): 11.534157162195259
X_of_N_9 (X-of-N): 7.338780373705771
REACTOME....Metabolism (X-of-N): 5.8038101381291645
X_of_N_30 (X-of-N): 2.567947255550104
X_of_N_32 (X-of-N): 2.497408986666881
X_of_N_17 (X-of-N): 2.4728927587557803
X_of_N_8 (X-of-N): 2.1855269418739414
X_of_N_18 (X-of-N): 1.9524507596099578
X_of_N_37 (X-of-N): 1.6821098838845292
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 1.2942530136386559
X_of_N_35 (X-of-N): 1.1498055181570679
KEGG.97....Lysosome (X-of-N): 1.1379257026306744
X_of_N_29 (X-of-N): 1.0618972877522814
X_of_N_31 (X-of-N): 0.9768893460460406
ACSN2.25....DNA_DAMAGE_RESPONSE (X-of-N): 0.8038811685465559
X_of_N_16 (X-of-N): 0.7529614641065667
KEGG.144....Glutathione.metabolism (X-of-N): 0.7048229030680316
REACTOME.85....DNA.Double.Strand.Break.Repair (X-of-N): 0.702818587850315
OntoCancro....Expanded.Apoptosis (X-of-N): 0.6889368293970287
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.5292528791929688
X_of_N_12 (X-of-N): 0.5232077378039028
ACSN2.22....ER_STRESS (X-of-N): 0.5217196364651481
X_of_N_15 (X-of-N): 0.5162671527207515
X_of_N_5 (X-of-N): 0.5123732103218003
WikiPathways.23....Ciliary.landscape (X-of-N): 0.4961659367960182
KEGG.1....Thermogenesis (X-of-N): 0.47698458306745456
X_of_N_1 (X-of-N): 0.43868281836034284
X_of_N_25 (X-of-N): 0.42881291253505693
X_of_N_14 (X-of-N): 0.42027013014061315
INOH.6....CD4.T.cell.receptor.signaling (X-of-N): 0.4106991149281491
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.409212618803766
WikiPathways.3....MAPK.Signaling (X-of-N): 0.40485619813814955
WikiPathways.44....Chromosomal.and.microsatellite.instability.in.colorectal.cancer (X-of-N): 0.37414112188975024
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.37322196218246445
X_of_N_2 (X-of-N): 0.3716739733078392
X_of_N_33 (X-of-N): 0.36085372632996
X_of_N_13 (X-of-N): 0.3533091006146792
REACTOME.235....Ion.homeostasis (X-of-N): 0.33122880437831836
WikiPathways.89....Integrated.Cancer (X-of-N): 0.32931150744842025
Panther_Pathway.32....Insulin_IGF_pathway_MAP_kinase_cascade (X-of-N): 0.29386958466905755
KEGG.154....Arachidonic.acid.metabolism (X-of-N): 0.2933136859325233
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.28659370492490194
KEGG.35....Oxidative.phosphorylation (X-of-N): 0.27696471230781117
REACTOME.54....MAPK1.MAPK3.signaling (X-of-N): 0.275080220936965
KEGG.47....Protein.processing.in.endoplasmic.reticulum (X-of-N): 0.27447566109199995
WikiPathways.24....Epithelial.to.mesenchymal.transition.in.colorectal.cancer (X-of-N): 0.2682723750711743
X_of_N_28 (X-of-N): 0.26530726286740836
REACTOME.11....Infectious.disease (X-of-N): 0.2540638195673038
EHMN.5....Arachidonic.acid.metabolism (X-of-N): 0.24088117161779138
====================
Fold 5
X_of_N_6 (X-of-N): 23.13223455055412
X_of_N_16 (X-of-N): 4.880610513432142
X_of_N_29 (X-of-N): 3.6768433676074475
X_of_N_38 (X-of-N): 3.661642150926442
X_of_N_24 (X-of-N): 2.8221182579735755
X_of_N_20 (X-of-N): 2.63379127961467
X_of_N_43 (X-of-N): 2.5384694586936125
